listing_id,source,seller_type,housing_type,region,district,rooms,living_area_m2,kitchen_area_m2,total_area_m2,floor,total_floors,building_type,layout,build_year,ceiling_height,bathroom,furnished,renovation,commission,amenities,nearby,negotiable,price,currency,published_date,description,date_scraped,url
4jYx9,olx,private,resale,Tashkent Region,Chilanzar District,1.0,20.0,6.0,29.0,1.0,4.0,panel,adjacent,1989.0,2.6,separate,1.0,euro renovation,0.0,"Internet, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,60000.0,USD,01/05/2026,"Описание Уй локацияси зур жойда жойлашган. Мирзо Улугбек метро 200 м, Бунедкор торговый комплекс, Бунедкор стадион, ГОФУР Гулом парк, Катортол бозор, Мед клиника, Мактаб Богча хаммаси енма-ен жойлашган. Уй эгаси узим,хамма жихозлари билан бирга сотилади. Уй холати зур топ тоза, Хамма шароити килиб куйилган кийим кечакларийзни олиб кириб яшайсиз, Студент еки еш оилага зур, колган саволлар тел да галашилади. Оринтир - Мирзо Улугбек метро Адрес:Чилонзор 6-4-38 Тел:996172767",2026-05-02,https://www.olx.uz/d/obyavlenie/1-hona-metro-oldi-da-sotiladi-ID4jYx9.html
4myoT,olx,private,,Tashkent Region,Yunusabad District,2.0,80.0,,80.0,6.0,13.0,brick,separate,2014.0,,combined,1.0,average condition,1.0,"Internet, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,7865000.0,UZS,30/04/2026,"Описание Сдается в аренду 2/6/13 Юнусабад 13 квартал в ЖК «Мегаполис» Общая площадь 80 м2.Раздельные комнаты,мебель,техника все имеется для комфортного проживания.Ориентиры:в шаговой доступности ТЦ Мегапланет, ресторан Grand Hall, Yapona Mama, вещевой рынок Ахмад Дониш.Закрытая охраняемая территория, имеется детская площадка.Очень удобная транспортная развилка. Возле ЖК в 5ти метрах вход в метро станция «Юнусабад», продуктовый рынок, школа №246, частный детский сад, гос. детские сады, кафе, рестораны и многое другое. Сдадим порядочным и платёжеспособным людям  на долгий срок Цена 650$ +коммунальные услуги Телефон для связи +99890 9613767 Гуля",2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-2-6-13-yunusabad-13-kvartal-v-zhk-megapolis-ID4myoT.html
4lvjL,olx,business,new building,Tashkent Region,Yunusabad District,3.0,,,80.0,6.0,9.0,monolith,adjacent,2025.0,3.0,combined,1.0,designer renovation,0.0,"Internet, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,220000.0,USD,29/04/2026,Описание Продается квартира !!! 3/6/9 80 кВ После ремонта Мебель техника все остается Yunusabad Residence 24/7 охрана Парковка Бассейн Silver Spa Фитнесс зал 220000$,2026-05-02,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-kvartira-3h-komnatnaya-80kv-ID4lvjL.html
4aiOy,olx,private,,Tashkent Region,Shaykhantakhur District,3.0,67.5,,67.5,5.0,6.0,,,,,,1.0,,0.0,"Internet, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony",,0,1400.0,USD,02/05/2026,"Описание Квартира в новостройке Tashkent City, с ремонтом, на долгосрочную аренду. Аренда: 1,400$ - 3-х комнатная - 5-й этаж *Интернет, свет и газ оплачиваются арендатором. Звонить по номеру: +998935011035",2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-3-h-komnatnaya-kvartira-v-novostroyke-tashkent-city-ID4aiOy.html
4mAGS,olx,business,resale,Tashkent Region,Yashnabad District,3.0,50.0,,78.0,1.0,4.0,brick,Смежно-раздельная,,3.0,,1.0,average condition,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,120000.0,USD,02/05/2026,"Описание Продается своя квартира 3/1/4 Кирпичном доме, 2 огорода не торец.",2026-05-02,https://www.olx.uz/d/obyavlenie/kvartira-3-1-4-kirpichnom-dome-1-etvzh-ne-torets-ID4mAGS.html
4jJwm,olx,private,new building,Tashkent Region,Yunusabad District,3.0,68.0,,68.0,10.0,12.0,monolith,Смежно-раздельная,2023.0,3.0,separate,1.0,designer renovation,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,110000.0,USD,02/05/2026,"Описание Своя #3 комнатная #Новостройка Хон сарой ЖК Мегатавр Юнусабад-13 квартал Ор-р: Мегопланет.  Унверсам базар 3х_комнатная_новостройка 10-й этаж 12 этажный дом Общая площадь 68 м2+ балкон Состояние: новый свежий евро ремонт,  полностью укомплектована. Цена 110.000 $ старт торг уместен Ипотеки, рассрочки нет Показ в любое время Тел. +998934399249",2026-05-02,https://www.olx.uz/d/obyavlenie/hon-saroy-zhk-megatavr-yunusabad-13-kv-3-hona-ID4jJwm.html
4jCqu,olx,private,new building,Tashkent Region,Yunusabad District,3.0,84.0,,112.0,13.0,16.0,monolith,separate,2024.0,3.0,combined,1.0,designer renovation,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,125000.0,USD,02/05/2026,"Описание Своя #3 комнатная #Новостройка Хон сарой ЖК Сайрам Юнусабад-14 квартал Ор-р: Сайрам прекрёска 3х_комнатная_новостройка 13-й этаж 16 этажный дом Общая площадь 84 м2+28м2 балкон Состояние: новый свежий евро ремонт,  полностью укомплектована. Цена 125.000 $ старт торг уместен Ипотеки, рассрочки нет Показ в любое время Тел. +998934399249",2026-05-02,https://www.olx.uz/d/obyavlenie/yunusabad-14-kv-hon-saroy-sayram-3-hona-ID4jCqu.html
4bWR1,olx,private,resale,Tashkent Region,Uchtepa District,3.0,70.0,40.0,111.0,4.0,4.0,brick,separate,2000.0,3.0,separate,1.0,average condition,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Restaurant, Cafe, Parking, Supermarket, Shops",0,100000.0,USD,02/05/2026,Описание Кора камиш МВД госпиталний енида дом сотилади холати яхши балконлари еруг тапчан килинган ванна туалет котта коган маьлумотла телда гаплашамиз тел номер 90.480.24.32 нархини келиштирамиз,2026-05-02,https://www.olx.uz/d/obyavlenie/bankovskaya-mvd-gospitalniy-enida-dom-sotiladi-ID4bWR1.html
4cXVi,olx,business,resale,Tashkent Region,Mirzo-Ulugbek District,1.0,,,28.0,4.0,5.0,brick,,,,,1.0,average condition,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,65000.0,USD,02/05/2026,Описание Новомосковская 1комнатная кирпич Мирзо-Улугбекский район 1 линия Улица Аккурган Ориентир: Стадион Старт Giotto кафе Подушечная рядом Комнат: 1 переделанная в 2 Этаж: 4 Этажность: 5 Общая Площадь: 28 квм² санузел совмещенный балкон 1*3 не торец Ремонт: Хороший с Мебелью Техникой Цена: 65000 y.e подробная информация по телефону +998951804080 Мохинур,2026-05-02,https://www.olx.uz/d/obyavlenie/kvartira-1-komnatnaya-novomoskovskaya-stadion-start-ID4cXVi.html
4mfGl,olx,business,new building,Tashkent Region,Yakkasaray District,4.0,,,122.0,2.0,8.0,brick,separate,,,2+ bathrooms,1.0,euro renovation,0.0,"Cable TV, TV, Telephone, Balcony, Washing Machine, Air Conditioning, Refrigerator, Internet, Kitchen","Entertainment, Bus Stop, School, Supermarket, Shops, Restaurant, Cafe, Playground, Park, Green Area, Kindergarten, Hospital, Clinic, Parking",1,310000.0,USD,02/05/2026,Описание ПРОДАЕТСЯ 4/2/8 НОВОСТРОЙКА ЖК Dream house Яккасарайский район Ор.р:  8 роддом Комната:4 Этаж: 2 Этажность: 8 Площадь:  122кв.м Состояние: авторский проект С МЕБЕЛЬЮ И ТЕХНИКОЙ Никто не жил 2 санузель Цена : 310 000y.e +998915567666,2026-05-02,https://www.olx.uz/d/obyavlenie/srochno-novostroyka-4-2-8-zhk-dream-house-8-roddom-yakkasarayskiy-rayon-ID4mfGl.html
4lw2N,olx,business,new building,Tashkent Region,Yakkasaray District,4.0,,,108.0,4.0,8.0,brick,separate,,,2+ bathrooms,1.0,euro renovation,0.0,,"Entertainment, Bus Stop, School, Supermarket, Shops, Restaurant, Cafe, Playground, Park, Green Area, Kindergarten, Hospital, Clinic, Parking",1,240000.0,USD,02/05/2026,Описание Продаётся квартира ЖК Dream House #Яккасарайский район Ор-р: 8 роддом 4/4/10 Евроремонт 108м² Укомплектована Цена: 240.000 у.е. 2.9 млрд.сум +998770033129,2026-05-02,https://www.olx.uz/d/obyavlenie/srochnaya-prodazha-4h-kom-108m2-zhk-dream-house-8-roddom-glinka-ID4lw2N.html
